s,f,a,add,del,temp,a_str,start,final
1,2,123,1,0,0,(+1),|1,1|1
1,3,125,1,0,0,(+2),|1,2|1
1,4,126,2,0,0,(+1  2),|1,1*2|1
1,5,131,1,0,0,(+3),|1,3|1
1,6,132,2,0,0,(+1  3),|1,1*3|1
1,7,134,2,0,0,(+2  3),|1,2*3|1
1,9,149,1,0,0,(+4),|1,4|1
1,10,150,2,0,0,(+1  4),|1,1*4|1
1,11,152,2,0,0,(+2  4),|1,2*4|1
1,13,158,2,0,0,(+3  4),|1,3*4|1
1,17,203,1,0,0,(+5),|1,5|1
1,18,204,2,0,0,(+1  5),|1,1*5|1
1,19,206,2,0,0,(+2  5),|1,2*5|1
1,21,212,2,0,0,(+3  5),|1,3*5|1
1,25,230,2,0,0,(+4  5),|1,4*5|1
1,34,366,1,0,1,(+1)(*2),|1,1|2
1,35,368,1,0,1,(+2)(*2),|1,2|2
1,37,374,1,0,1,(+3)(*2),|1,3|2
1,41,392,1,0,1,(+4)(*2),|1,4|2
1,45,401,2,0,1,(+3  4)(*2),|1,3*4|2
1,49,446,1,0,1,(+5)(*2),|1,5|2
1,51,449,2,0,1,(+2  5)(*2),|1,2*5|2
1,66,609,1,0,1,(+1)(*3),|1,1|3
1,67,611,1,0,1,(+2)(*3),|1,2|3
1,68,612,2,0,1,(+1  2)(*3),|1,1*2|3
1,69,617,1,0,1,(+3)(*3),|1,3|3
1,70,618,2,0,1,(+1  3)(*3),|1,1*3|3
1,71,620,2,0,1,(+2  3)(*3),|1,2*3|3
1,73,635,1,0,1,(+4)(*3),|1,4|3
1,74,636,2,0,1,(+1  4)(*3),|1,1*4|3
1,75,638,2,0,1,(+2  4)(*3),|1,2*4|3
1,77,644,2,0,1,(+3  4)(*3),|1,3*4|3
1,81,689,1,0,1,(+5)(*3),|1,5|3
1,82,690,2,0,1,(+1  5)(*3),|1,1*5|3
1,83,692,2,0,1,(+2  5)(*3),|1,2*5|3
1,85,698,2,0,1,(+3  5)(*3),|1,3*5|3
1,89,716,2,0,1,(+4  5)(*3),|1,4*5|3
1,98,852,1,0,1,(+1)(*4),|1,1|4
1,99,854,1,0,1,(+2)(*4),|1,2|4
1,100,855,2,0,1,(+1  2)(*4),|1,1*2|4
1,101,860,1,0,1,(+3)(*4),|1,3|4
1,102,861,2,0,1,(+1  3)(*4),|1,1*3|4
1,103,863,2,0,1,(+2  3)(*4),|1,2*3|4
1,105,878,1,0,1,(+4)(*4),|1,4|4
1,106,879,2,0,1,(+1  4)(*4),|1,1*4|4
1,107,881,2,0,1,(+2  4)(*4),|1,2*4|4
1,109,887,2,0,1,(+3  4)(*4),|1,3*4|4
1,113,932,1,0,1,(+5)(*4),|1,5|4
1,114,933,2,0,1,(+1  5)(*4),|1,1*5|4
1,117,941,2,0,1,(+3  5)(*4),|1,3*5|4
1,121,959,2,0,1,(+4  5)(*4),|1,4*5|4
1,130,1095,1,0,1,(+1)(*5),|1,1|5
1,131,1097,1,0,1,(+2)(*5),|1,2|5
1,132,1098,2,0,1,(+1  2)(*5),|1,1*2|5
1,133,1103,1,0,1,(+3)(*5),|1,3|5
1,134,1104,2,0,1,(+1  3)(*5),|1,1*3|5
1,135,1106,2,0,1,(+2  3)(*5),|1,2*3|5
1,137,1121,1,0,1,(+4)(*5),|1,4|5
1,138,1122,2,0,1,(+1  4)(*5),|1,1*4|5
1,139,1124,2,0,1,(+2  4)(*5),|1,2*4|5
1,141,1130,2,0,1,(+3  4)(*5),|1,3*4|5
1,145,1175,1,0,1,(+5)(*5),|1,5|5
1,146,1176,2,0,1,(+1  5)(*5),|1,1*5|5
1,149,1184,2,0,1,(+3  5)(*5),|1,3*5|5
1,153,1202,2,0,1,(+4  5)(*5),|1,4*5|5
2,4,125,1,0,0,(+2),1|1,1*2|1
2,6,131,1,0,0,(+3),1|1,1*3|1
2,8,134,2,0,0,(+2  3),1|1,1*2*3|1
2,10,149,1,0,0,(+4),1|1,1*4|1
2,12,152,2,0,0,(+2  4),1|1,1*2*4|1
2,14,158,2,0,0,(+3  4),1|1,1*3*4|1
2,18,203,1,0,0,(+5),1|1,1*5|1
2,20,206,2,0,0,(+2  5),1|1,1*2*5|1
2,22,212,2,0,0,(+3  5),1|1,1*3*5|1
2,26,230,2,0,0,(+4  5),1|1,1*4*5|1
2,34,365,0,0,1,(*2),1|1,1|2
2,37,374,1,0,1,(+3)(*2),1|1,3|2
2,41,392,1,0,1,(+4)(*2),1|1,4|2
2,45,401,2,0,1,(+3  4)(*2),1|1,3*4|2
2,66,608,0,0,1,(*3),1|1,1|3
2,68,611,1,0,1,(+2)(*3),1|1,1*2|3
2,70,617,1,0,1,(+3)(*3),1|1,1*3|3
