s,f,a,add,del,temp,a_str,start,final
1,2,123,1,0,0,(+1),|1,1|1
1,3,125,1,0,0,(+2),|1,2|1
1,4,126,2,0,0,(+1  2),|1,1*2|1
1,5,131,1,0,0,(+3),|1,3|1
1,6,132,2,0,0,(+1  3),|1,1*3|1
1,7,134,2,0,0,(+2  3),|1,2*3|1
1,9,149,1,0,0,(+4),|1,4|1
1,10,150,2,0,0,(+1  4),|1,1*4|1
1,11,152,2,0,0,(+2  4),|1,2*4|1
1,13,158,2,0,0,(+3  4),|1,3*4|1
1,17,203,1,0,0,(+5),|1,5|1
1,18,204,2,0,0,(+1  5),|1,1*5|1
1,19,206,2,0,0,(+2  5),|1,2*5|1
1,21,212,2,0,0,(+3  5),|1,3*5|1
1,25,230,2,0,0,(+4  5),|1,4*5|1
1,34,366,1,0,1,(+1)(*2),|1,1|2
1,35,368,1,0,1,(+2)(*2),|1,2|2
1,36,369,2,0,1,(+1  2)(*2),|1,1*2|2
1,37,374,1,0,1,(+3)(*2),|1,3|2
1,38,375,2,0,1,(+1  3)(*2),|1,1*3|2
1,39,377,2,0,1,(+2  3)(*2),|1,2*3|2
1,41,392,1,0,1,(+4)(*2),|1,4|2
1,42,393,2,0,1,(+1  4)(*2),|1,1*4|2
1,43,395,2,0,1,(+2  4)(*2),|1,2*4|2
1,45,401,2,0,1,(+3  4)(*2),|1,3*4|2
1,49,446,1,0,1,(+5)(*2),|1,5|2
1,50,447,2,0,1,(+1  5)(*2),|1,1*5|2
1,51,449,2,0,1,(+2  5)(*2),|1,2*5|2
1,53,455,2,0,1,(+3  5)(*2),|1,3*5|2
1,57,473,2,0,1,(+4  5)(*2),|1,4*5|2
1,66,609,1,0,1,(+1)(*3),|1,1|3
1,67,611,1,0,1,(+2)(*3),|1,2|3
1,68,612,2,0,1,(+1  2)(*3),|1,1*2|3
1,69,617,1,0,1,(+3)(*3),|1,3|3
1,70,618,2,0,1,(+1  3)(*3),|1,1*3|3
1,71,620,2,0,1,(+2  3)(*3),|1,2*3|3
1,73,635,1,0,1,(+4)(*3),|1,4|3
1,74,636,2,0,1,(+1  4)(*3),|1,1*4|3
1,75,638,2,0,1,(+2  4)(*3),|1,2*4|3
1,77,644,2,0,1,(+3  4)(*3),|1,3*4|3
1,81,689,1,0,1,(+5)(*3),|1,5|3
1,82,690,2,0,1,(+1  5)(*3),|1,1*5|3
1,83,692,2,0,1,(+2  5)(*3),|1,2*5|3
1,85,698,2,0,1,(+3  5)(*3),|1,3*5|3
1,89,716,2,0,1,(+4  5)(*3),|1,4*5|3
2,4,125,1,0,0,(+2),1|1,1*2|1
2,6,131,1,0,0,(+3),1|1,1*3|1
2,8,134,2,0,0,(+2  3),1|1,1*2*3|1
2,10,149,1,0,0,(+4),1|1,1*4|1
2,12,152,2,0,0,(+2  4),1|1,1*2*4|1
2,14,158,2,0,0,(+3  4),1|1,1*3*4|1
2,18,203,1,0,0,(+5),1|1,1*5|1
2,20,206,2,0,0,(+2  5),1|1,1*2*5|1
2,22,212,2,0,0,(+3  5),1|1,1*3*5|1
2,26,230,2,0,0,(+4  5),1|1,1*4*5|1
2,34,365,0,0,1,(*2),1|1,1|2
2,36,368,1,0,1,(+2)(*2),1|1,1*2|2
2,38,374,1,0,1,(+3)(*2),1|1,1*3|2
2,40,377,2,0,1,(+2  3)(*2),1|1,1*2*3|2
2,42,392,1,0,1,(+4)(*2),1|1,1*4|2
2,44,395,2,0,1,(+2  4)(*2),1|1,1*2*4|2
2,46,401,2,0,1,(+3  4)(*2),1|1,1*3*4|2
2,50,446,1,0,1,(+5)(*2),1|1,1*5|2
2,54,455,2,0,1,(+3  5)(*2),1|1,1*3*5|2
2,58,473,2,0,1,(+4  5)(*2),1|1,1*4*5|2
2,66,608,0,0,1,(*3),1|1,1|3
2,68,611,1,0,1,(+2)(*3),1|1,1*2|3
2,70,617,1,0,1,(+3)(*3),1|1,1*3|3
2,72,620,2,0,1,(+2  3)(*3),1|1,1*2*3|3
2,74,635,1,0,1,(+4)(*3),1|1,1*4|3
2,76,638,2,0,1,(+2  4)(*3),1|1,1*2*4|3
2,78,644,2,0,1,(+3  4)(*3),1|1,1*3*4|3
2,82,689,1,0,1,(+5)(*3),1|1,1*5|3
2,84,692,2,0,1,(+2  5)(*3),1|1,1*2*5|3
2,86,698,2,0,1,(+3  5)(*3),1|1,1*3*5|3
2,90,716,2,0,1,(+4  5)(*3),1|1,1*4*5|3
3,4,123,1,0,0,(+1),2|1,1*2|1
3,7,131,1,0,0,(+3),2|1,2*3|1
3,8,132,2,0,0,(+1  3),2|1,1*2*3|1
3,11,149,1,0,0,(+4),2|1,2*4|1
3,12,150,2,0,0,(+1  4),2|1,1*2*4|1
