s,f,a,add,del,temp,a_str,start,final
1,2,265722,1,0,0,(+1),|1,1|1
1,3,265724,1,0,0,(+2),|1,2|1
1,4,265725,2,0,0,(+1  2),|1,1*2|1
1,5,265730,1,0,0,(+3),|1,3|1
1,6,265731,2,0,0,(+1  3),|1,1*3|1
1,9,265748,1,0,0,(+4),|1,4|1
1,10,265749,2,0,0,(+1  4),|1,1*4|1
1,13,265757,2,0,0,(+3  4),|1,3*4|1
1,17,265802,1,0,0,(+5),|1,5|1
1,18,265803,2,0,0,(+1  5),|1,1*5|1
1,19,265805,2,0,0,(+2  5),|1,2*5|1
1,25,265829,2,0,0,(+4  5),|1,4*5|1
1,33,265964,1,0,0,(+6),|1,6|1
1,34,265965,2,0,0,(+1  6),|1,1*6|1
1,35,265967,2,0,0,(+2  6),|1,2*6|1
1,37,265973,2,0,0,(+3  6),|1,3*6|1
1,41,265991,2,0,0,(+4  6),|1,4*6|1
1,65,266450,1,0,0,(+7),|1,7|1
1,66,266451,2,0,0,(+1  7),|1,1*7|1
1,67,266453,2,0,0,(+2  7),|1,2*7|1
1,69,266459,2,0,0,(+3  7),|1,3*7|1
1,73,266477,2,0,0,(+4  7),|1,4*7|1
1,81,266531,2,0,0,(+5  7),|1,5*7|1
1,97,266693,2,0,0,(+6  7),|1,6*7|1
1,129,267908,1,0,0,(+8),|1,8|1
1,131,267911,2,0,0,(+2  8),|1,2*8|1
1,133,267917,2,0,0,(+3  8),|1,3*8|1
1,137,267935,2,0,0,(+4  8),|1,4*8|1
1,145,267989,2,0,0,(+5  8),|1,5*8|1
1,161,268151,2,0,0,(+6  8),|1,6*8|1
1,257,272282,1,0,0,(+9),|1,9|1
1,258,272283,2,0,0,(+1  9),|1,1*9|1
1,259,272285,2,0,0,(+2  9),|1,2*9|1
1,261,272291,2,0,0,(+3  9),|1,3*9|1
1,265,272309,2,0,0,(+4  9),|1,4*9|1
1,273,272363,2,0,0,(+5  9),|1,5*9|1
1,289,272525,2,0,0,(+6  9),|1,6*9|1
1,321,273011,2,0,0,(+7  9),|1,7*9|1
1,385,274469,2,0,0,(+8  9),|1,8*9|1
1,513,285404,1,0,0,(+10),|1,10|1
1,514,285405,2,0,0,(+1  10),|1,1*10|1
1,515,285407,2,0,0,(+2  10),|1,2*10|1
1,521,285431,2,0,0,(+4  10),|1,4*10|1
1,529,285485,2,0,0,(+5  10),|1,5*10|1
1,545,285647,2,0,0,(+6  10),|1,6*10|1
